Date,Open,High,Low,Close,Volume
2025-03-07,235.11000061035156,241.3699951171875,234.75999450683594,239.07000732421875,46245700
2025-03-06,234.44000244140625,237.86000061035156,233.16000366210938,235.3300018310547,45170400
2025-03-05,235.4199981689453,236.5500030517578,229.22999572753906,235.74000549316406,47227600
2025-03-04,237.7100067138672,240.07000732421875,234.67999267578125,235.92999267578125,53798100
2025-03-03,241.7899932861328,244.02999877929688,236.11000061035156,238.02999877929688,47184000
2025-02-28,236.9499969482422,242.08999633789062,230.1999969482422,241.83999633789062,56833400
2025-02-27,239.41000366210938,242.4600067138672,237.05999755859375,237.3000030517578,41153600
2025-02-26,244.3300018310547,244.97999572753906,239.1300048828125,240.36000061035156,44433600
2025-02-25,248.0,250.0,244.91000366210938,247.0399932861328,48013300
2025-02-24,244.92999267578125,248.86000061035156,244.4199981689453,247.10000610351562,51326400
2025-02-21,245.9499969482422,248.69000244140625,245.22000122070312,245.5500030517578,53197400
2025-02-20,244.94000244140625,246.77999877929688,244.2899932861328,245.8300018310547,32316900
2025-02-19,244.66000366210938,246.00999450683594,243.16000366210938,244.8699951171875,32204200
2025-02-18,244.14999389648438,245.17999267578125,241.83999633789062,244.47000122070312,48822500
2025-02-14,241.25,245.5500030517578,240.99000549316406,244.60000610351562,40896200
2025-02-13,236.91000366210938,242.33999633789062,235.57000732421875,241.52999877929688,53614100
2025-02-12,231.1999969482422,236.9600067138672,230.67999267578125,236.8699951171875,45243300
2025-02-11,228.1999969482422,235.22999572753906,228.1300048828125,232.6199951171875,53718400
2025-02-10,229.57000732421875,230.58999633789062,227.1999969482422,227.64999389648438,33115600
2025-02-07,232.3445476829273,233.74300400322835,227.0104008794231,227.3800048828125,39707200
2025-02-06,231.0359788855247,233.54323203112875,230.17692277145878,232.9638671875,29925300
2025-02-05,228.27901582634638,232.4144684638066,228.0193068583431,232.21469116210938,39620300
2025-02-04,227.00041910872287,232.87396618357337,226.40107197135944,232.54432678222656,45067300
2025-02-03,229.73741895869952,231.5753945205246,225.45212191586603,227.75958251953125,73063300
2025-01-31,246.91852728753366,246.91852728753366,233.18362815459494,235.74081420898438,101075100
2025-01-30,238.40787147181928,240.52553823889048,236.94948349745044,237.3290557861328,55658300
2025-01-29,233.86287156365174,239.5965730646729,233.75299176206667,239.0971221923828,45486100
2025-01-28,230.59647127201654,239.9262098046868,230.55650666713984,237.99832153320312,75707600
2025-01-27,223.77396171163917,231.89502211760887,223.73399710835045,229.6075439453125,94863400
2025-01-24,224.53312753788666,225.38220009721186,221.16683361690275,222.5353240966797,54697900
2025-01-23,224.493183388126,226.78066167492807,222.05586069453574,223.41436767578125,60234800
2025-01-22,219.54859611049605,223.87384226456615,219.54859611049605,223.58416748046875,64126500
2025-01-21,223.75398423747347,224.17352112887505,219.13906319002535,222.39547729492188,98070400
2025-01-17,231.86506609768284,232.03487756376998,228.22906438809179,229.7274169921875,68488300
2025-01-16,237.089336348529,237.74859991927732,227.7795647267042,228.00930786132812,71759100
2025-01-15,234.38230107288462,238.6975638581554,234.17252500331003,237.60874938964844,39832000
2025-01-14,234.49217517741417,235.8606656353981,232.21468051006943,233.02378845214844,39435300
2025-01-13,233.27352322575203,234.41227060505477,229.46771001708314,234.14256286621094,49630700
2025-01-10,239.7463920626497,239.8962364632009,232.74409661721964,236.58987426757812,61710900
2025-01-08,241.65429905026372,243.44234164075266,239.78635773622742,242.43344116210938,37628900
2025-01-07,242.71314361950866,245.28032844029428,241.08494412707995,241.94400024414062,40856000
2025-01-06,244.04168187374515,247.05836939894766,242.93290033169586,244.73092651367188,45045600
2025-01-03,243.0927276611328,243.91181916074598,241.624340886356,243.0927276611328,40244100
2025-01-02,248.65660659999048,248.826433311358,241.55442975303322,243.5821990966797,55740700
2024-12-31,252.16275955239965,253.00183336212825,249.15605553782555,250.1449737548828,39480700
